id,asset_id,actor_user_id,event_type,from_location_id,to_location_id,from_custodian_user_id,to_custodian_user_id,event_data,occurred_at
624b5217-ada2-4540-94df-f27085ff8baa,31cb68c4-04b9-459f-a319-f54f64093777,60694a33-64df-4703-bb1f-20bc3948e683,created,,226f67de-eecb-4041-b2fd-00c436b1b82f,,1c4df881-cca6-49a3-9b2e-6a87a781ef63,"{""source"": ""initial registration"", ""asset_tag"": ""AST-IT-PC-00408""}",2023-12-11 00:00:00+00
73e60d63-d981-4f74-8e7a-cad11497e03f,7db9993a-c311-4055-9ee8-5ed5c9175837,60694a33-64df-4703-bb1f-20bc3948e683,imported,,0ea1b587-0390-4fcf-a4cd-e82e2caef624,,8703fd82-ea7e-461c-bacc-18cd5a7c3d3b,"{""source"": ""initial registration"", ""asset_tag"": ""AST-IT-PC-00384""}",2024-12-01 00:00:00+00
84614462-f77c-4d7e-80d5-3872cab17eb3,f21f1a4e-f67b-4afc-831b-02970ae18b92,60694a33-64df-4703-bb1f-20bc3948e683,imported,,8090e173-233a-4c47-9778-d4fe6f272e43,,6ff17eb7-5c04-40ff-83f8-043b4cb1c45c,"{""source"": ""initial registration"", ""asset_tag"": ""AST-IT-PC-00360""}",2026-03-10 00:00:00+00
ca354542-f40f-4017-b77d-7ee56b74ba13,e5f03288-56b5-4e41-aeae-32ac9ca686ed,60694a33-64df-4703-bb1f-20bc3948e683,imported,,418ec156-f12e-4b21-8e3c-9546e326d2f3,,1c4df881-cca6-49a3-9b2e-6a87a781ef63,"{""source"": ""initial registration"", ""asset_tag"": ""AST-IT-PC-00336""}",2023-09-19 00:00:00+00
84b84cf6-f1c1-4f77-8968-04789aa32a3b,aecdd574-5cba-40f2-9e7e-6d54fb7c510c,60694a33-64df-4703-bb1f-20bc3948e683,created,,ed0c4695-23ba-41bb-bb52-4fc110fc0fde,,1c4df881-cca6-49a3-9b2e-6a87a781ef63,"{""source"": ""initial registration"", ""asset_tag"": ""AST-IT-PC-00312""}",2023-12-17 00:00:00+00
e474998c-4a76-4cfa-86de-b035835fc1bc,a3ebae3a-8830-4d9f-bb39-31f1ff5256b6,60694a33-64df-4703-bb1f-20bc3948e683,imported,,b685a49b-8c4c-437f-9738-80d6a2ab8af5,,8703fd82-ea7e-461c-bacc-18cd5a7c3d3b,"{""source"": ""initial registration"", ""asset_tag"": ""AST-IT-PC-00288""}",2021-02-18 00:00:00+00
38c6fc51-58e6-4c66-b482-80aff73d9a7d,767d8649-57ab-4a11-82c7-39d328b1e970,60694a33-64df-4703-bb1f-20bc3948e683,imported,,ab9714cb-122f-4204-a820-6d7257a3057c,,6ff17eb7-5c04-40ff-83f8-043b4cb1c45c,"{""source"": ""initial registration"", ""asset_tag"": ""AST-IT-PC-00264""}",2025-08-22 00:00:00+00
aa34e832-3d43-4ca1-9482-d713e726794c,0f96dd5e-bc40-479b-a4a8-935f141761fe,60694a33-64df-4703-bb1f-20bc3948e683,imported,,226f67de-eecb-4041-b2fd-00c436b1b82f,,1c4df881-cca6-49a3-9b2e-6a87a781ef63,"{""source"": ""initial registration"", ""asset_tag"": ""AST-IT-PC-00240""}",2020-12-21 00:00:00+00
e3748cfe-fe9c-4b1c-8e25-55469db46238,902ff40c-5768-4b41-9986-00b4bd120b9e,60694a33-64df-4703-bb1f-20bc3948e683,imported,,0ea1b587-0390-4fcf-a4cd-e82e2caef624,,8703fd82-ea7e-461c-bacc-18cd5a7c3d3b,"{""source"": ""initial registration"", ""asset_tag"": ""AST-IT-PC-00216""}",2019-10-19 00:00:00+00
0c407409-a342-4e96-9634-2b5426ccc968,be876a33-d7c0-4e02-8380-c51b35ca0220,60694a33-64df-4703-bb1f-20bc3948e683,created,,8090e173-233a-4c47-9778-d4fe6f272e43,,6ff17eb7-5c04-40ff-83f8-043b4cb1c45c,"{""source"": ""initial registration"", ""asset_tag"": ""AST-IT-PC-00192""}",2022-02-26 00:00:00+00
64a7cd8b-480a-4889-a554-fa740de21fd1,664b8874-680a-4a42-bcca-60369d3b4d1d,60694a33-64df-4703-bb1f-20bc3948e683,imported,,418ec156-f12e-4b21-8e3c-9546e326d2f3,,1c4df881-cca6-49a3-9b2e-6a87a781ef63,"{""source"": ""initial registration"", ""asset_tag"": ""AST-IT-PC-00168""}",2026-02-21 00:00:00+00
5b4cc87e-4119-49a2-bd76-20396aeda751,e831ff11-fd59-4d48-b375-c4e0f4c5617a,60694a33-64df-4703-bb1f-20bc3948e683,imported,,ed0c4695-23ba-41bb-bb52-4fc110fc0fde,,1c4df881-cca6-49a3-9b2e-6a87a781ef63,"{""source"": ""initial registration"", ""asset_tag"": ""AST-IT-PC-00144""}",2025-10-09 00:00:00+00
0ff3bdc0-d61c-4011-829e-365171926e78,09691387-05cc-4ad0-ac05-f45203433926,60694a33-64df-4703-bb1f-20bc3948e683,imported,,b685a49b-8c4c-437f-9738-80d6a2ab8af5,,8703fd82-ea7e-461c-bacc-18cd5a7c3d3b,"{""source"": ""initial registration"", ""asset_tag"": ""AST-IT-PC-00120""}",2022-01-30 00:00:00+00
232d79a1-efac-4c6a-8664-74b16bb13f45,e202e999-36c0-49e9-b8c4-b6bc1f7e4ec0,60694a33-64df-4703-bb1f-20bc3948e683,imported,,ab9714cb-122f-4204-a820-6d7257a3057c,,6ff17eb7-5c04-40ff-83f8-043b4cb1c45c,"{""source"": ""initial registration"", ""asset_tag"": ""AST-IT-PC-00096""}",2020-08-30 00:00:00+00
b047c348-fd86-4253-9210-3552c3febf47,7373faf9-f1ab-4151-8d65-0131be6b082b,60694a33-64df-4703-bb1f-20bc3948e683,imported,,226f67de-eecb-4041-b2fd-00c436b1b82f,,1c4df881-cca6-49a3-9b2e-6a87a781ef63,"{""source"": ""initial registration"", ""asset_tag"": ""AST-IT-PC-00072""}",2025-11-28 00:00:00+00
88951991-4f15-4980-a016-ea58c203eefb,561b6196-43a5-4372-8f1d-d4a03781a5a2,60694a33-64df-4703-bb1f-20bc3948e683,imported,,0ea1b587-0390-4fcf-a4cd-e82e2caef624,,8703fd82-ea7e-461c-bacc-18cd5a7c3d3b,"{""source"": ""initial registration"", ""asset_tag"": ""AST-IT-PC-00048""}",2020-06-29 00:00:00+00
420c28f4-3930-439b-98e3-623188550bfb,046e7a1f-65e3-4413-a967-02db1733f3c9,60694a33-64df-4703-bb1f-20bc3948e683,created,,8090e173-233a-4c47-9778-d4fe6f272e43,,6ff17eb7-5c04-40ff-83f8-043b4cb1c45c,"{""source"": ""initial registration"", ""asset_tag"": ""AST-IT-PC-00024""}",2020-06-08 00:00:00+00
c0c6f71c-bb08-4a64-8950-007407d2d729,8d80a20f-fff3-4b6e-b62c-e0e4380099f0,60694a33-64df-4703-bb1f-20bc3948e683,imported,,75741c19-7bc5-4f13-8bcd-5543dbab11a6,,05d038a0-b4a2-40fb-9ac6-eecfcf9cda47,"{""source"": ""initial registration"", ""asset_tag"": ""AST-IT-PC-00409""}",2023-11-18 00:00:00+00
8250f1ad-0ad9-46b1-ba34-47a32cdb6cbd,eb7f1eea-5650-44c2-8ffa-c20c9becfef2,60694a33-64df-4703-bb1f-20bc3948e683,created,,d640dd11-70ae-4fdc-af12-97b61c1003e1,,176f3f16-3ab1-409e-8c10-9631bea0edcc,"{""source"": ""initial registration"", ""asset_tag"": ""AST-IT-PC-00385""}",2025-04-24 00:00:00+00
