id,user_id,role_id,org_unit_id,granted_by,expires_at,created_at
2e0687a3-128a-409b-8dcf-e8f1219b354e,49d11b97-7c72-49ce-84b3-5fac923e716e,acb1be16-96c3-4312-a9ae-4d444538a8eb,,49d11b97-7c72-49ce-84b3-5fac923e716e,,2026-09-21 12:36:10.142818+00
5d0d48e6-2ed9-4f1d-ae03-ac276a88db3f,f4f9be59-90a4-4645-9907-3a1110570d64,5d6a1625-84a4-42f7-b8a9-3d8b5f588638,faf0affc-ea1d-41f0-97e6-c0f136acfb12,49d11b97-7c72-49ce-84b3-5fac923e716e,,2026-09-21 12:36:10.142818+00
4f4ab7a5-2011-4d78-aad6-c27b3a6d1b0d,b556717b-a757-49e7-8859-2d3aeca41e88,5d6a1625-84a4-42f7-b8a9-3d8b5f588638,6fae8d38-5d36-4971-bb0e-c2b1b6f880b1,49d11b97-7c72-49ce-84b3-5fac923e716e,,2026-09-21 12:36:10.142818+00
79ec6e70-f250-4a35-b3e1-b6fb0c59b68b,60694a33-64df-4703-bb1f-20bc3948e683,5d6a1625-84a4-42f7-b8a9-3d8b5f588638,d52b79be-c2d1-4095-83c4-ba22b0b20ef9,49d11b97-7c72-49ce-84b3-5fac923e716e,,2026-09-21 12:36:10.142818+00
34fc22c7-7092-4055-a7b5-ab04003d023c,22e61621-8203-4465-a5c1-285eb61ed02a,cfdf9c71-a68b-4062-9735-c4e7a460ab0e,d82f0fd6-d71d-41ff-b68c-5f4f7a3f4ea0,49d11b97-7c72-49ce-84b3-5fac923e716e,,2026-09-21 12:36:10.142818+00
a59a0560-f165-4139-a2ce-f25dfa68b130,d1897fd4-bfcd-4ae2-9116-db7e3407cd59,cfdf9c71-a68b-4062-9735-c4e7a460ab0e,d52b79be-c2d1-4095-83c4-ba22b0b20ef9,49d11b97-7c72-49ce-84b3-5fac923e716e,,2026-09-21 12:36:10.142818+00
b0281dcc-e1c0-4e50-9176-d6f250690854,a88277d6-7193-4856-b318-4d7fb0af2f58,cfdf9c71-a68b-4062-9735-c4e7a460ab0e,d52b79be-c2d1-4095-83c4-ba22b0b20ef9,49d11b97-7c72-49ce-84b3-5fac923e716e,,2026-09-21 12:36:10.142818+00
d83e853d-0353-47b3-8de8-5da326f6a29b,750c04a5-63c4-42c6-a7c4-b3aa1de4eebf,7125c931-a588-4fa0-b6fc-f4f5f8306834,ff591628-5c79-4358-9a5b-d60833359337,49d11b97-7c72-49ce-84b3-5fac923e716e,,2026-09-21 12:36:10.142818+00
bbdc9971-b4dd-49bf-bc26-deab8d8c7842,6ff17eb7-5c04-40ff-83f8-043b4cb1c45c,7125c931-a588-4fa0-b6fc-f4f5f8306834,d82f0fd6-d71d-41ff-b68c-5f4f7a3f4ea0,49d11b97-7c72-49ce-84b3-5fac923e716e,,2026-09-21 12:36:10.142818+00
fcd8ef12-bcb2-4827-82a8-810716f8a238,176f3f16-3ab1-409e-8c10-9631bea0edcc,7125c931-a588-4fa0-b6fc-f4f5f8306834,6f3efb5d-afd8-49c9-8c40-31084252833a,49d11b97-7c72-49ce-84b3-5fac923e716e,,2026-09-21 12:36:10.142818+00
