id,asset_id,document_type,supplier_name,purchase_order_number,invoice_number,invoice_amount,warranty_provider,warranty_expires_at,storage_bucket,storage_key,mime_type,byte_size,sha256_hex,malware_scan_status,uploaded_by,created_at,updated_at
35f9a750-3c27-45f1-aca7-ea5beaa49056,31cb68c4-04b9-459f-a319-f54f64093777,invoice,LabLine Scientific,PO-2023-0042,INV-2023-0553,26676.00,,,ast-private-docs,invoices/2023/AST-IT-PC-00408.pdf,application/pdf,252351,6305ddb7577d9af694014b27f95f64259d789bc12ce9b1ecd1297f614d76b933,clean,a88277d6-7193-4856-b318-4d7fb0af2f58,2023-12-18 00:00:00+00,2026-09-21 12:36:10.142818+00
20d6b5ea-c525-407c-ac1e-3936dfb003a1,7db9993a-c311-4055-9ee8-5ed5c9175837,invoice,Upper Egypt Office Works,PO-2024-0010,INV-2024-0499,23940.00,,,ast-private-docs,invoices/2024/AST-IT-PC-00384.pdf,application/pdf,311599,b4b9c40233c24f762dfa8e816026836a370f37577916a617e9ea9e728d2f712e,clean,a88277d6-7193-4856-b318-4d7fb0af2f58,2024-12-08 00:00:00+00,2026-09-21 12:36:10.142818+00
0e754377-5153-4059-82b0-89ba37d717ab,767d8649-57ab-4a11-82c7-39d328b1e970,invoice,PowerGuard Energy,PO-2025-0033,INV-2025-0553,21204.00,,,ast-private-docs,invoices/2025/AST-IT-PC-00264.pdf,application/pdf,136331,60daf1f4419bb524f0da4263defc892b9dc9170104bd938859b8a3a8b0e88ed3,clean,a88277d6-7193-4856-b318-4d7fb0af2f58,2025-08-29 00:00:00+00,2026-09-21 12:36:10.142818+00
aaf4726d-bfc2-4996-ac0b-f8041d99f301,0f96dd5e-bc40-479b-a4a8-935f141761fe,invoice,Upper Egypt Office Works,PO-2020-0023,INV-2020-0318,19380.00,,,ast-private-docs,invoices/2020/AST-IT-PC-00240.pdf,application/pdf,158134,56c6e5073b1a784be045ca6ebc99a9ed253a56a9cc2d4f231793f999e7d93cb7,clean,a88277d6-7193-4856-b318-4d7fb0af2f58,2020-12-28 00:00:00+00,2026-09-21 12:36:10.142818+00
ca5717bb-23da-4a42-ab76-ed911c3665de,902ff40c-5768-4b41-9986-00b4bd120b9e,invoice,LabLine Scientific,PO-2019-0014,INV-2019-0683,21204.00,,,ast-private-docs,invoices/2019/AST-IT-PC-00216.pdf,application/pdf,256073,41dd844372621739d13ddcf576d531bbf959f96ee86ee46336aab9a2407593dd,clean,a88277d6-7193-4856-b318-4d7fb0af2f58,2019-10-26 00:00:00+00,2026-09-21 12:36:10.142818+00
75061bec-f486-4780-bab6-fcfe58de5c17,be876a33-d7c0-4e02-8380-c51b35ca0220,invoice,Delta Computer Supplies,PO-2022-0002,INV-2022-0694,19380.00,,,ast-private-docs,invoices/2022/AST-IT-PC-00192.pdf,application/pdf,157490,ad5ffa0426064bfc75650c59f66339d5c564dd071528416e8d9e0baafe4d0c6b,clean,a88277d6-7193-4856-b318-4d7fb0af2f58,2022-03-05 00:00:00+00,2026-09-21 12:36:10.142818+00
b147d8af-0a5c-407f-831f-a9f85c633651,664b8874-680a-4a42-bcca-60369d3b4d1d,invoice,Nile Tech Systems,PO-2026-0035,INV-2026-0763,23940.00,,,ast-private-docs,invoices/2026/AST-IT-PC-00168.pdf,application/pdf,283864,9104f9c12641934fb618f23f2f857efc28c6634e6aac5c8fb16b6e0d137abf1d,clean,a88277d6-7193-4856-b318-4d7fb0af2f58,2026-02-28 00:00:00+00,2026-09-21 12:36:10.142818+00
66c4afb0-c2cc-47f5-9155-08fd2df5d361,e831ff11-fd59-4d48-b375-c4e0f4c5617a,invoice,Delta Computer Supplies,PO-2025-0014,INV-2025-0080,21204.00,,,ast-private-docs,invoices/2025/AST-IT-PC-00144.pdf,application/pdf,514774,fb2dfcddb3d635b765057358a625b40cd209ad1a9ef77970d3287cb04ac80956,clean,a88277d6-7193-4856-b318-4d7fb0af2f58,2025-10-16 00:00:00+00,2026-09-21 12:36:10.142818+00
b89cc58d-3816-4d1b-9f60-5f9fa74e4470,e202e999-36c0-49e9-b8c4-b6bc1f7e4ec0,invoice,PowerGuard Energy,PO-2020-0002,INV-2020-0472,24852.00,,,ast-private-docs,invoices/2020/AST-IT-PC-00096.pdf,application/pdf,368156,383508a5dac6286fa756495563e2ddf0486a48d00a9cb974223bc4ea58010361,clean,a88277d6-7193-4856-b318-4d7fb0af2f58,2020-09-06 00:00:00+00,2026-09-21 12:36:10.142818+00
af537d2d-e01c-4656-bcf1-16f4c6e3ae34,561b6196-43a5-4372-8f1d-d4a03781a5a2,invoice,LabLine Scientific,PO-2020-0001,INV-2020-0628,22116.00,,,ast-private-docs,invoices/2020/AST-IT-PC-00048.pdf,application/pdf,241228,61987161070b74445649f160a5e685d4378b3ef27957e79fe4a423ce4cce272d,clean,a88277d6-7193-4856-b318-4d7fb0af2f58,2020-07-06 00:00:00+00,2026-09-21 12:36:10.142818+00
