id,actor_user_id,action,table_name,record_id,ip_address,user_agent,metadata,created_at
7defeaf5-c57c-4069-99c2-5ab51a157d12,49d11b97-7c72-49ce-84b3-5fac923e716e,retirement.approved,assets,,10.20.6.13,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17,"{""evidence"": ""attached""}",2026-06-23 17:05:10.142818+00
bd146542-50b6-41a4-a6eb-bd038d60f07e,60694a33-64df-4703-bb1f-20bc3948e683,work_order.completed,work_orders,,10.20.7.59,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17,"{""kind"": ""preventive""}",2026-08-14 11:44:10.142818+00
393c8f63-21f4-4fb1-974f-69281623db29,b556717b-a757-49e7-8859-2d3aeca41e88,document.download_signed,asset_documents,,10.20.19.93,Mozilla/5.0 (X11; Linux x86_64) Firefox/127,"{""ttl_seconds"": 120}",2026-06-22 07:59:10.142818+00
96c716da-5a55-48c5-a809-ca9e9a3e6604,f4f9be59-90a4-4645-9907-3a1110570d64,work_order.completed,work_orders,,10.20.9.110,AST-Mobile/1.2 (Android 14),"{""kind"": ""preventive""}",2026-06-27 04:32:10.142818+00
1aa989ae-9c5c-426f-a94b-dd9b2d0d47e7,a88277d6-7193-4856-b318-4d7fb0af2f58,retirement.approved,assets,,10.20.18.147,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17,"{""evidence"": ""attached""}",2026-07-11 06:30:10.142818+00
c1d354f5-f363-4321-9699-f6af56bee58c,1c4df881-cca6-49a3-9b2e-6a87a781ef63,work_order.completed,work_orders,,10.20.19.106,AST-Mobile/1.2 (Android 14),"{""kind"": ""preventive""}",2026-05-03 18:44:10.142818+00
b4883dcf-c413-4b1c-8805-01693f8d11a8,05d038a0-b4a2-40fb-9ac6-eecfcf9cda47,auth.login_failed,users,,10.20.14.139,Mozilla/5.0 (X11; Linux x86_64) Firefox/127,"{""reason"": ""bad_credentials""}",2026-08-22 06:31:10.142818+00
c707a17e-205d-4d64-9dd7-dcb5161f99f1,176f3f16-3ab1-409e-8c10-9631bea0edcc,document.download_signed,asset_documents,,10.20.10.203,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126,"{""ttl_seconds"": 120}",2026-04-22 19:32:10.142818+00
707800d2-14ee-462c-ae5f-fb1efd9c82e3,750c04a5-63c4-42c6-a7c4-b3aa1de4eebf,auth.login_success,users,,10.20.6.33,AST-Mobile/1.2 (Android 14),"{""mfa"": true}",2026-09-02 12:17:10.142818+00
6f8ba7bc-a8d6-410f-a2a3-ef6e45634610,074adb51-413b-4a95-a297-532a23028420,auth.login_success,users,,10.20.15.145,Mozilla/5.0 (X11; Linux x86_64) Firefox/127,"{""mfa"": true}",2026-06-26 17:32:10.142818+00
8deebf26-ee20-4dd5-b73b-64915c29392d,316fff45-4cbd-4c5f-aa69-23e361e9fdb0,auth.login_success,users,,10.20.13.206,Mozilla/5.0 (X11; Linux x86_64) Firefox/127,"{""mfa"": true}",2026-07-05 04:00:10.142818+00
b3676b48-c49a-4e65-96b5-296ccb75d12f,dac8cfc5-9369-4ddd-93a4-0a33c40b54b1,auth.login_success,users,,10.20.13.42,Mozilla/5.0 (X11; Linux x86_64) Firefox/127,"{""mfa"": true}",2026-08-02 14:36:10.142818+00
c3ea04b6-c2a1-4a19-9dab-6bcc17bac8b6,c2f8c8e5-af2d-4fa5-bef8-f8c299334c4a,report.export,assets,,10.20.16.145,AST-Mobile/1.2 (Android 14),"{""format"": ""csv""}",2026-04-23 17:32:10.142818+00
75a81796-205d-4d34-8537-0535a7fb6af7,b0b54190-fcf5-486a-aa97-94a938211aec,document.download_signed,asset_documents,,10.20.0.137,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17,"{""ttl_seconds"": 120}",2026-09-06 00:46:10.142818+00
3d2fa747-b7b6-4a84-a53d-6dd5594db70f,089d3e35-dd8e-48ab-991e-a8f94ccfd969,auth.login_failed,users,,10.20.8.112,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17,"{""reason"": ""bad_credentials""}",2026-07-01 00:42:10.142818+00
f5064635-b4c5-4ad3-97e1-3c779b7916a7,76368d26-ee94-46f4-a13e-259a7f0ce5dc,asset.created,assets,,10.20.17.152,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126,"{""source"": ""ui""}",2026-05-18 09:24:10.142818+00
aaff355c-6377-488d-83dc-ca92ad15be30,045d7fdc-085d-4681-9f88-1d8b262ba961,rbac.permission_granted,user_roles,,10.20.14.83,Mozilla/5.0 (X11; Linux x86_64) Firefox/127,"{""scope"": ""college""}",2026-08-11 07:42:10.142818+00
bc938fc5-8ca9-4ac4-9006-1b9ae9d53fdd,63cfd2c4-2600-45b5-8925-b1c9ff6c04ee,rbac.permission_granted,user_roles,,10.20.2.51,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126,"{""scope"": ""college""}",2026-05-31 06:27:10.142818+00
68f5ea7a-6d38-4e7b-97eb-76d69ce72504,49d11b97-7c72-49ce-84b3-5fac923e716e,retirement.approved,assets,,10.20.8.10,AST-Mobile/1.2 (Android 14),"{""evidence"": ""attached""}",2026-09-03 17:52:10.142818+00
feed5388-2480-4641-acc1-77ca94a0bf73,60694a33-64df-4703-bb1f-20bc3948e683,auth.login_success,users,,10.20.10.66,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126,"{""mfa"": true}",2026-04-21 04:06:10.142818+00
f4d2ab13-2561-4a09-9782-cf587003a173,a88277d6-7193-4856-b318-4d7fb0af2f58,asset.created,assets,,10.20.19.76,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17,"{""source"": ""ui""}",2026-04-16 15:15:10.142818+00
41b93383-85ca-46dd-a431-cf7d01f0509f,d1897fd4-bfcd-4ae2-9116-db7e3407cd59,work_order.completed,work_orders,,10.20.4.106,Mozilla/5.0 (X11; Linux x86_64) Firefox/127,"{""kind"": ""preventive""}",2026-07-30 06:53:10.142818+00
7e9220d1-7bcf-462f-a5aa-1831485246db,22e61621-8203-4465-a5c1-285eb61ed02a,auth.login_failed,users,,10.20.0.24,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17,"{""reason"": ""bad_credentials""}",2026-06-20 08:57:10.142818+00
c522bd2b-f4f5-495e-b985-13a3e966a012,1c4df881-cca6-49a3-9b2e-6a87a781ef63,asset.created,assets,,10.20.5.51,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17,"{""source"": ""ui""}",2026-07-22 00:12:10.142818+00
2de78ae1-d47a-4b0b-9923-64ef1f6b6092,05d038a0-b4a2-40fb-9ac6-eecfcf9cda47,auth.login_success,users,,10.20.0.181,AST-Mobile/1.2 (Android 14),"{""mfa"": true}",2026-08-21 23:54:10.142818+00
2b774beb-cbd9-4aa9-9058-ec4aa36040b4,8703fd82-ea7e-461c-bacc-18cd5a7c3d3b,auth.login_failed,users,,10.20.0.180,Mozilla/5.0 (X11; Linux x86_64) Firefox/127,"{""reason"": ""bad_credentials""}",2026-06-06 03:09:10.142818+00
1c80caa7-6d45-4850-9c9f-36409750dbf1,176f3f16-3ab1-409e-8c10-9631bea0edcc,retirement.approved,assets,,10.20.7.55,AST-Mobile/1.2 (Android 14),"{""evidence"": ""attached""}",2026-06-18 13:12:10.142818+00
b7d6b842-a2ee-43fd-af1e-2b480b5ba17f,6ff17eb7-5c04-40ff-83f8-043b4cb1c45c,retirement.approved,assets,,10.20.3.29,AST-Mobile/1.2 (Android 14),"{""evidence"": ""attached""}",2026-08-13 17:26:10.142818+00
f08033c9-653d-4c98-9b90-e9624e1f5772,750c04a5-63c4-42c6-a7c4-b3aa1de4eebf,asset.created,assets,,10.20.2.184,Mozilla/5.0 (X11; Linux x86_64) Firefox/127,"{""source"": ""ui""}",2026-04-17 13:16:10.142818+00
047a5e33-b8e8-41f1-bd25-5f284169f380,316fff45-4cbd-4c5f-aa69-23e361e9fdb0,rbac.permission_granted,user_roles,,10.20.15.115,Mozilla/5.0 (X11; Linux x86_64) Firefox/127,"{""scope"": ""college""}",2026-08-13 17:11:10.142818+00
1f2f0e27-19ab-491b-99e5-0212469ca4c1,c2f8c8e5-af2d-4fa5-bef8-f8c299334c4a,retirement.approved,assets,,10.20.18.21,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126,"{""evidence"": ""attached""}",2026-09-08 01:11:10.142818+00
4509eac8-c8ef-4f91-b19a-6a5ebbca848a,b0b54190-fcf5-486a-aa97-94a938211aec,auth.login_failed,users,,10.20.2.10,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126,"{""reason"": ""bad_credentials""}",2026-03-31 08:15:10.142818+00
4732ea27-31a7-48e7-b7b7-107bf44121b5,089d3e35-dd8e-48ab-991e-a8f94ccfd969,rbac.permission_granted,user_roles,,10.20.10.188,Mozilla/5.0 (X11; Linux x86_64) Firefox/127,"{""scope"": ""college""}",2026-08-23 17:49:10.142818+00
59b18a30-2609-4c8f-8b39-08a94b1e4848,76368d26-ee94-46f4-a13e-259a7f0ce5dc,retirement.approved,assets,,10.20.15.161,Mozilla/5.0 (X11; Linux x86_64) Firefox/127,"{""evidence"": ""attached""}",2026-06-04 01:05:10.142818+00
86139101-9c90-457a-8f03-53ef7c54656e,045d7fdc-085d-4681-9f88-1d8b262ba961,rbac.permission_granted,user_roles,,10.20.14.47,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126,"{""scope"": ""college""}",2026-04-20 13:07:10.142818+00
cfc62ffb-614c-4369-b42c-4717c9e73923,63cfd2c4-2600-45b5-8925-b1c9ff6c04ee,work_order.completed,work_orders,,10.20.9.64,AST-Mobile/1.2 (Android 14),"{""kind"": ""preventive""}",2026-07-09 10:52:10.142818+00
5ff6577d-1867-45e4-9d6f-338b81879648,49d11b97-7c72-49ce-84b3-5fac923e716e,auth.login_success,users,,10.20.14.132,AST-Mobile/1.2 (Android 14),"{""mfa"": true}",2026-09-16 02:07:10.142818+00
ed60b30e-08b0-4ede-b49b-5a3d50d3a6ab,b556717b-a757-49e7-8859-2d3aeca41e88,work_order.completed,work_orders,,10.20.11.42,AST-Mobile/1.2 (Android 14),"{""kind"": ""preventive""}",2026-06-13 22:54:10.142818+00
a437267f-5d8a-4d3b-b581-3b3e2099aefd,f4f9be59-90a4-4645-9907-3a1110570d64,rbac.permission_granted,user_roles,,10.20.18.13,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126,"{""scope"": ""college""}",2026-08-09 00:01:10.142818+00
7f77d374-c9d9-49f7-9a89-cf903e532228,a88277d6-7193-4856-b318-4d7fb0af2f58,report.export,assets,,10.20.15.129,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126,"{""format"": ""csv""}",2026-06-04 16:58:10.142818+00
ce9b7697-634f-4c71-b2ca-cd4542222534,d1897fd4-bfcd-4ae2-9116-db7e3407cd59,asset.created,assets,,10.20.16.187,AST-Mobile/1.2 (Android 14),"{""source"": ""ui""}",2026-08-26 10:25:10.142818+00
36e1d1ce-f00d-4139-9d6b-8fb4f12c7814,22e61621-8203-4465-a5c1-285eb61ed02a,report.export,assets,,10.20.0.92,Mozilla/5.0 (X11; Linux x86_64) Firefox/127,"{""format"": ""csv""}",2026-08-21 19:36:10.142818+00
ca4c3f4d-025c-44fe-b3bf-462217280c12,1c4df881-cca6-49a3-9b2e-6a87a781ef63,auth.login_failed,users,,10.20.9.196,Mozilla/5.0 (X11; Linux x86_64) Firefox/127,"{""reason"": ""bad_credentials""}",2026-07-21 03:18:10.142818+00
a058ea94-4c43-48ee-ba0e-7b55218d9f8b,05d038a0-b4a2-40fb-9ac6-eecfcf9cda47,document.download_signed,asset_documents,,10.20.14.205,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17,"{""ttl_seconds"": 120}",2026-04-18 16:23:10.142818+00
b016005e-185b-4ce9-a3d1-4162f1ad7add,8703fd82-ea7e-461c-bacc-18cd5a7c3d3b,document.download_signed,asset_documents,,10.20.7.188,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17,"{""ttl_seconds"": 120}",2026-03-27 04:29:10.142818+00
a51da48e-15ce-4aef-b22b-933a8ddd45e4,176f3f16-3ab1-409e-8c10-9631bea0edcc,work_order.completed,work_orders,,10.20.4.43,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17,"{""kind"": ""preventive""}",2026-07-31 06:36:10.142818+00
a83d907e-66de-48d4-9b54-5202575aa5a4,6ff17eb7-5c04-40ff-83f8-043b4cb1c45c,asset.created,assets,,10.20.2.62,Mozilla/5.0 (X11; Linux x86_64) Firefox/127,"{""source"": ""ui""}",2026-04-18 13:01:10.142818+00
18e7e31a-4cec-4e32-b595-4c3a23c1f1ee,750c04a5-63c4-42c6-a7c4-b3aa1de4eebf,auth.login_failed,users,,10.20.16.55,AST-Mobile/1.2 (Android 14),"{""reason"": ""bad_credentials""}",2026-05-03 10:17:10.142818+00
