id,parent_id,org_unit_id,location_type,name,code,is_active,created_at,updated_at,created_by,updated_by
8cb15f60-208d-4890-a1e1-733ee551c835,,d52b79be-c2d1-4095-83c4-ba22b0b20ef9,campus,Main Campus,MAIN,t,2026-09-21 12:36:10.142818+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,
e5af376e-e289-46e9-89ef-56eaefb911a9,8cb15f60-208d-4890-a1e1-733ee551c835,6fae8d38-5d36-4971-bb0e-c2b1b6f880b1,building,Engineering Building,BLD-A,t,2026-09-21 12:36:10.142818+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,
80ff2b98-628f-42d9-b675-40e5a7091649,8cb15f60-208d-4890-a1e1-733ee551c835,faf0affc-ea1d-41f0-97e6-c0f136acfb12,building,AI and Data Science Building,BLD-B,t,2026-09-21 12:36:10.142818+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,
2041f5ec-1292-4695-ba05-6467bedfc759,8cb15f60-208d-4890-a1e1-733ee551c835,d52b79be-c2d1-4095-83c4-ba22b0b20ef9,building,Administration Building,BLD-C,t,2026-09-21 12:36:10.142818+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,
c70933ce-e053-4ffe-8e0d-97ab5eaf8dae,e5af376e-e289-46e9-89ef-56eaefb911a9,6fae8d38-5d36-4971-bb0e-c2b1b6f880b1,floor,Engineering Building - Floor 1,BLD-A-F1,t,2026-09-21 12:36:10.142818+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,
8e34a5cf-6a71-44a7-9a49-78f0d5bfccd0,80ff2b98-628f-42d9-b675-40e5a7091649,faf0affc-ea1d-41f0-97e6-c0f136acfb12,floor,AI and Data Science Building - Floor 1,BLD-B-F1,t,2026-09-21 12:36:10.142818+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,
92d85742-d34d-42c1-b9c5-3a039cc1d6f7,2041f5ec-1292-4695-ba05-6467bedfc759,d52b79be-c2d1-4095-83c4-ba22b0b20ef9,floor,Administration Building - Floor 1,BLD-C-F1,t,2026-09-21 12:36:10.142818+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,
0c1c0aa3-1842-48cd-90df-9832635602f9,e5af376e-e289-46e9-89ef-56eaefb911a9,6fae8d38-5d36-4971-bb0e-c2b1b6f880b1,floor,Engineering Building - Floor 2,BLD-A-F2,t,2026-09-21 12:36:10.142818+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,
8edad0d5-b77f-48bc-a287-396629e4a1a0,80ff2b98-628f-42d9-b675-40e5a7091649,faf0affc-ea1d-41f0-97e6-c0f136acfb12,floor,AI and Data Science Building - Floor 2,BLD-B-F2,t,2026-09-21 12:36:10.142818+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,
37724b27-3ef2-4bb3-ab2a-60ec4c7b9618,2041f5ec-1292-4695-ba05-6467bedfc759,d52b79be-c2d1-4095-83c4-ba22b0b20ef9,floor,Administration Building - Floor 2,BLD-C-F2,t,2026-09-21 12:36:10.142818+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,
418ec156-f12e-4b21-8e3c-9546e326d2f3,c70933ce-e053-4ffe-8e0d-97ab5eaf8dae,053cf8f8-7366-46a9-b0bb-3f4c8b856fa5,room,Lab BLD-A-F1-01,BLD-A-F1-R01,t,2026-09-21 12:36:10.142818+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,
477a6a8f-fc3e-46c4-9661-b8e18aa51458,8e34a5cf-6a71-44a7-9a49-78f0d5bfccd0,8ef0ecc9-58c0-4c55-91e0-178f17ee7c58,room,Lab BLD-B-F1-01,BLD-B-F1-R01,t,2026-09-21 12:36:10.142818+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,
8090e173-233a-4c47-9778-d4fe6f272e43,92d85742-d34d-42c1-b9c5-3a039cc1d6f7,d82f0fd6-d71d-41ff-b68c-5f4f7a3f4ea0,room,Lab BLD-C-F1-01,BLD-C-F1-R01,t,2026-09-21 12:36:10.142818+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,
67bdcd67-117b-453f-88c9-25b12a0565e7,0c1c0aa3-1842-48cd-90df-9832635602f9,053cf8f8-7366-46a9-b0bb-3f4c8b856fa5,room,Lab BLD-A-F2-01,BLD-A-F2-R01,t,2026-09-21 12:36:10.142818+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,
df3d8ea3-3aa6-4212-a736-6a16b4ecb804,8edad0d5-b77f-48bc-a287-396629e4a1a0,8ef0ecc9-58c0-4c55-91e0-178f17ee7c58,room,Lab BLD-B-F2-01,BLD-B-F2-R01,t,2026-09-21 12:36:10.142818+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,
